measured,latency_ns,http_status,error_code,trade_id
false,112404959,200,,721
false,109997458,200,,712
false,111209500,200,,713
false,63104000,200,,715
false,115709666,200,,716
false,60428500,200,,718
false,60172333,200,,711
false,59855667,200,,722
false,112107375,200,,720
false,58278667,200,,719
false,62445625,200,,734
false,125267125,200,,714
false,61546459,200,,735
false,76594500,200,,737
false,196942750,200,,717
false,70442458,200,,728
false,71333792,200,,723
false,69512709,200,,729
false,123281583,200,,733
false,164255667,200,,736
false,71554666,200,,732
false,69897041,200,,731
false,124371125,200,,738
false,70009292,200,,726
false,131633000,200,,707
false,128344000,200,,725
false,76840958,200,,724
false,129575375,200,,740
false,73875083,200,,744
false,78713750,200,,730
false,130317250,200,,739
false,204438166,200,,727
false,71878125,200,,741
false,50212792,200,,745
false,104336584,200,,747
false,73663875,200,,743
false,51367209,200,,749
false,212843542,200,,750
false,74321000,200,,748
false,48826458,200,,746
false,94588333,200,,756
false,95237500,200,,753
false,151656459,200,,755
false,24511833,200,,765
false,247086584,200,,754
false,36368292,200,,751
false,85731708,200,,742
false,50956375,200,,764
false,95525958,200,,762
false,96150292,200,,761
false,78202042,200,,752
false,18460792,200,,760
false,24454375,200,,763
false,17614250,200,,772
false,107558916,200,,770
false,107797000,200,,771
false,103907541,200,,769
false,26827458,200,,766
false,105577459,200,,768
false,158514042,200,,767
false,106870584,200,,775
false,105289083,200,,773
false,110359333,200,,774
false,30736167,200,,776
false,23199958,200,,777
false,172312250,200,,781
false,172618583,200,,779
false,122257084,200,,778
false,19494375,200,,785
false,120845667,200,,784
false,31829167,200,,780
false,20688417,200,,786
false,106858708,200,,782
false,82723334,200,,783
false,105065125,200,,789
false,25261041,200,,788
false,85977916,200,,795
false,26306000,200,,794
false,76787125,200,,790
false,18482875,200,,791
false,102703833,200,,787
false,27615166,200,,796
false,89676917,200,,792
false,20782625,200,,793
false,31582500,200,,797
false,22575875,200,,798
false,181707750,200,,799
false,72463291,200,,801
false,40747500,200,,800
false,138599667,200,,804
false,140061833,200,,805
false,80371792,200,,807
false,24642792,200,,809
false,141912709,200,,802
false,30308625,200,,808
false,82829125,200,,803
